study_hours,attendance,previous_score,sleep_hours,final_score
5.1,84.9,50.2,7.1,43.7
11.5,76.8,69.8,6.9,66.4
9.1,65.5,88.0,5.1,65.47
7.6,90.7,80.3,6.4,68.88
2.7,84.2,84.4,6.5,59.18
2.7,58.1,76.2,6.6,42.25
1.6,95.5,78.1,7.3,59.94
10.5,91.1,86.7,7.1,77.61
7.6,97.5,53.7,7.4,58.55
8.8,86.3,66.9,8.1,62.84
1.2,80.7,52.2,8.3,29.42
11.7,70.9,94.3,7.9,84.8
10.2,96.6,91.9,8.8,87.15
3.3,93.3,42.2,5.1,37.09
3.0,52.3,78.8,5.8,45.0
3.0,51.3,90.9,5.0,50.79
4.3,68.8,49.9,7.6,35.55
6.8,90.5,71.2,8.6,62.45
5.8,99.4,90.4,6.0,72.21
4.2,57.5,41.9,8.7,31.76
7.7,79.7,78.4,5.2,63.43
2.5,69.0,56.4,8.7,36.5
4.2,98.5,90.8,6.4,67.45
5.0,92.1,93.4,5.4,65.51
6.0,91.9,91.9,6.9,63.22
9.6,73.4,66.1,6.0,65.75
3.2,70.7,87.4,6.1,51.22
6.7,63.7,86.5,6.2,57.66
7.5,52.8,57.6,8.2,50.97
1.5,93.2,85.6,7.2,60.96
7.7,90.6,42.0,6.2,46.04
2.9,100.0,72.8,7.4,56.36
1.7,99.8,52.7,7.9,46.48
11.4,77.8,46.6,6.1,60.84
11.6,88.4,44.2,6.7,61.75
9.9,97.2,78.3,5.5,71.07
4.4,92.5,58.7,5.7,45.78
2.1,62.4,79.9,7.7,48.7
8.5,72.5,43.6,5.7,43.26
5.8,56.5,57.3,7.1,33.37
2.3,97.7,69.7,7.8,54.99
6.4,80.3,83.5,5.4,65.37
1.4,61.4,57.5,7.3,26.22
11.0,83.6,74.4,6.0,66.84
3.8,80.9,88.7,8.9,65.47
8.3,67.9,73.9,6.9,69.56
4.4,55.7,52.8,8.2,41.07
6.7,83.6,41.3,7.2,44.12
7.0,76.0,87.9,5.2,63.12
3.0,88.6,41.2,7.5,44.94
11.7,76.0,88.1,8.8,78.51
9.5,92.6,69.1,7.4,65.9
11.3,77.6,91.6,8.3,79.39
10.8,78.0,83.9,8.5,73.19
7.6,93.8,94.9,5.9,74.5
11.1,70.2,59.3,5.8,67.18
2.0,56.7,82.2,7.4,48.56
3.2,51.4,62.1,6.6,37.69
1.5,87.8,66.4,8.4,47.01
4.6,81.0,74.5,8.6,51.92
5.3,85.2,88.1,6.4,67.33
4.0,60.6,94.1,5.9,56.03
10.1,56.8,82.3,8.1,67.91
4.9,50.7,63.0,6.1,55.2
4.1,67.5,63.2,8.3,49.21
7.0,79.5,80.6,6.7,60.69
2.6,69.6,53.1,7.7,37.64
9.8,71.9,46.1,5.4,55.91
1.8,95.2,59.5,7.5,46.78
11.9,67.4,55.8,6.8,56.16
9.5,75.7,56.3,7.3,62.64
3.2,89.2,52.8,5.7,39.94
1.1,69.8,42.3,7.9,38.58
